2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
1924,CA,Cab Sauv - Up to - $12.99,2020,Lodi,Cabernet Sauvignon,Double Black,$12.00 ,Gold
1924,CA,Cab Sauv - $13.00 - $15.99,2020,Lodi,Cabernet Sauvignon,,$15.00 ,Silver
1924,CA,Chardonnay - $14.00 - $15.99,2019,California,Chardonnay,Scotch Barrel,$15.00 ,Bronze
1924,CA,Sauvignon Blanc/Fume - Up to - $15.99,2020,California,Sauvignon Blanc,,$12.00 ,Bronze
95476,CA,Cab Sauv - $23.00 - $25.99,2017,Sonoma County,Cabernet Sauvignon,,$24.00 ,Silver
95476,CA,Chardonnay - $16.00 - $17.99,2020,Sonoma Valley,Chardonnay,,$16.00 ,Silver
95476,CA,Merlot - $19.00 - $22.99,2018,Sonoma Valley,Merlot,,$20.00 ,Silver
95476,CA,Pinot Noir - $20.00 - $23.99,2019,Sonoma Valley,Pinot Noir,,$20.00 ,Silver
95476,CA,Red Blend: Merlot leading blend - Up to - $29.99,2018,Sonoma Mountain,Red Blend,,$20.00 ,Silver
95476,CA,Sauvignon Blanc/Fume - $16.00 - $19.99,2021,Sonoma Valley,Sauvignon Blanc,,$16.00 ,Silver
95476,CA,Brut,NV,North Coast,Brut White Wine,Secco,$24.00 ,Bronze
[ess-eff] Wines,CA,Pinot Noir - $40.00 - $43.99,2020,Mendocino County,Pinot Noir,Mariah Vineyards,$42.00 ,Gold
[ess-eff] Wines,CA,Dry Rose/Blush - RS 0,2020,Shenandoah Valley,Barbera Rose,Hannah s Vineyard,$24.00 ,Silver
[ess-eff] Wines,CA,Zinfandel - $35.00 - $38.99,2018,Dry Creek Valley,Zinfandel,Teldeschi,$38.00 ,Silver
10;000 Hours,BC,Syrah/Shiraz - $35.00 - $39.99,2019,Red Mountain,Syrah,,$35.00 ,Silver
101 North,CA,Chardonnay - Up to - $10.99,NV,California,Chardonnay,,$5.99 ,Gold
101 North,CA,Cab Sauv - Up to - $12.99,NV,California,Cabernet Sauvignon,,$5.99 ,Silver
101 North,CA,Muscat,NV,California,Moscato,,$5.99 ,Silver
101 North,CA,Pinot Gris/Grigio - Up to - $14.99,NV,California,Pinot Grigio,,$5.99 ,Silver
14 Hands,WA,Chardonnay - $11.00 - $13.99,2020,Columbia Valley,Chardonnay,,$12.00 ,Gold
14 Hands,WA,Merlot - Up to - $14.99,2018,Columbia Valley,Merlot,,$12.00 ,Gold
14 Hands,WA,Red Blend: Cab Sauv leading blend - Up to - $24.99,2018,Columbia Valley,Red Blend,Hot to Trot,$12.00 ,Gold
14 Hands,WA,Red Blend: Merlot leading blend - Up to - $29.99,2019,Columbia Valley,Red Blend,Stampede,$12.00 ,Gold
14 Hands,WA,Dry Rose/Blush Blend - RS 0,2020,Columbia Valley,Rose,,$12.00 ,Silver
14 Hands,WA,Red Blend: Syrah leading blend - Up to - $35.99,2019,Columbia Valley,Red Blend,Run Wild,$12.00 ,Silver
14 Hands,WA,Sauvignon Blanc/Fume - Up to - $15.99,2020,Columbia Valley,Sauvignon Blanc,,$12.00 ,Silver
1764 Vineyards,AZ,Orange Wine/Skin Fermented White,2020,Willcox,Jules T Amber Riesling,,$27.00 ,Silver
1849 Wine Co.,CA,Cab Sauv - $72.00 - $89.99,2015,Napa Valley,Cabernet Sauvignon,Declaration by 1849 Wine Co.,$79.99 ,Bronze
2020 Heist,MA,Cab Sauv - $26.00 - $29.99,2020,Paso Robles,Cabernet Sauvignon,,$27.99 ,Gold
2Hawk Winery,OR,Tempranillo - $35 and Over,2017,Rogue Valley,Tempranillo,Darow Series,$49.00 ,Double Gold
2Hawk Winery,OR,Viognier - $27.00 and Over,2019,Rogue Valley,Viognier,Darow Series,$46.00 ,Double Gold
2Hawk Winery,OR,Sauvignon Blanc/Fume - $26.00 and Over,2020,Rogue Valley,Sauvignon Blanc,,$26.00 ,Gold
2Hawk Winery,OR,Tempranillo - $35 and Over,2017,Rogue Valley,Tempranillo,Padigan Series,$65.00 ,Gold
2Hawk Winery,OR,Dry Rose/Blush - RS .1 - .299,2020,Rogue Valley,Grenache Rose,,$26.00 ,Silver
2Hawk Winery,OR,Malbec - $37.00 and Over,2019,Rogue Valley,Malbec,Darow Series,$49.00 ,Silver
2Hawk Winery,OR,Malbec - $37.00 and Over,2017,Rogue Valley,Malbec,Padigan Series,$65.00 ,Silver
2Hawk Winery,OR,Grenache - Up to - $34.99,2019,Rogue Valley,Grenache,,$34.00 ,Bronze
30 Degrees,CA,Cab Sauv - $23.00 - $25.99,2020,Paso Robles,Cabernet Sauvignon,,$25.00 ,Gold
30 Degrees,CA,Chardonnay - $23.00 - $25.99,2020,Monterey County,Chardonnay,,$23.00 ,Gold
