Winery,Wine Name,Vintage,Appellation,Country,Class Nam,Price,Medal
"10,000 Hours",Syrah,2019,Red Mountain,USA,Syrah / Shiraz,35,G
2Hawk Vineyard '&' Winery,Premium Bordeaux Blend,2018,Rogue Valley,USA,Premium Bordeaux Blend >$25,34,B
2Hawk Vineyard '&' Winery,Sauvignon Blanc,2020,Rogue Valley,USA,Sauvignon Blanc,26,B
2Hawk Vineyard '&' Winery,Grenache Rosé,2020,Rogue Valley,USA,Varietal Rosé,26,B
4R Ranch Vineyards '&' Winery,Estate Viognier,2020,Texoma,USA,Viognier,46,B
4R Ranch Vineyards '&' Winery,Reserve Roussanne,2020,Texas High Plains,USA,White Rhône Varietal,32,B
50th Parallel Estate,Chardonnay,2019,Okanagan Valley,Canada,Chardonnay,49,B
50th Parallel Estate,Gewürztraminer,2020,Okanagan Valley,Canada,Gewürztraminer,21,B
50th Parallel Estate,Pinot Noir,2019,Okanagan Valley,Canada,Pinot Noir,34,B
50th Parallel Estate,Unparalleled Pinot Noir,2019,Okanagan Valley,Canada,Pinot Noir,70,B
50th Parallel Estate,Profile Pinot Noir,2019,Okanagan Valley,Canada,Pinot Noir,34,G
50th Parallel Estate,Pinot Gris,2020,Okanagan Valley,Canada,Pinot Gris/ Pinot Grigio,23,S
50th Parallel Estate,Riesling,2020,Okanagan Valley,Canada,Riesling 0.71% r.s. or above,24,S
7 Vines Vineyard,Chardonnay,2020,Lodi,USA,Chardonnay,37,B
7 Vines Vineyard,Malbec,2019,American,USA,Malbec,36,B
7 Vines Vineyard,Marquette,2019,Minnesota,USA,Hybrid Red Varietal,44,G
7 Vines Vineyard,Petit Verdot,2020,Clarksburg,USA,Petit Verdot,45,S
7 Vines Vineyard,Vin Rouge Peltier Zinfandel Port,2019,Lodi,USA,Varietal Port,55,S
AC Byrne '&' Co,Cabernet Merlot,2020,Margaret River,Australia,Bordeaux Blends<$25,12,S
AC Byrne '&' Co,Chardonnay,2021,Margaret River,Australia,Chardonnay,12,S
AC Byrne '&' Co,White Blend,2021,Margaret River,Australia,Sauvignon Blanc / Semillon Blends,12,S
Accomplice,Chardonnay,2020,California,USA,Chardonnay,15,GG
Accomplice,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,15,S
Accomplice,Rosé,2020,California,USA,Rosé,15,S
Acquiesce Winery,Estate| Lodi Rules White Blend,2019,Lodi Mokelumne River,USA,White Rhône Blend,34,B
Acquiesce Winery,Estate| Lodi Rules Bourboulenc,2020,Lodi Mokelumne River,USA,White Rhône Varietal,30,G
Acquiesce Winery,Estate| Lodi Rules Viognier,2020,Lodi Mokelumne River,USA,Viognier,30,GG
Acquiesce Winery,Estate| Lodi Rules Picpoul Blanc,2020,Lodi Mokelumne River,USA,White Rhône Varietal,28,GG
Acquiesce Winery,Methode Champenoise| Estate Grown| Grenache Blanc,NV,Lodi Mokelumne River,USA,Extra Brut (0-6 g/l),55,S
Acquiesce Winery,Estate| Lodi Rules Rosé,2020,Lodi Mokelumne River,USA,Varietal Rosé,26,S
Acquiesce Winery,Estate| Lodi Rules White Blend,2020,Lodi Mokelumne River,USA,White Rhône Blend,34,S
Acquiesce Winery,Estate| Lodi Rules Grenache Blanc,2020,Lodi Mokelumne River,USA,White Rhône Varietal,28,S
Acquiesce Winery,Estate| Lodi Rules Clairette Blanche,2020,Lodi Mokelumne River,USA,White Rhône Varietal,30,S
Acquiesce Winery,Estate| Lodi Rules Roussanne,2020,Lodi Mokelumne River,USA,White Rhône Varietal,34,S
Adega de Pegôes,Sobreio de Pegoes White Blend,2020,Peninsula deSetubul,Portugal,Spanish / Argentine/ Portugese White Varietals,10,S
Aimée,Bollicine Brut,2019,Napa Valley,USA,Brut (less than 12 g/l),32,B
Aimée,Cabernet Sauvignon,2018,Napa Valley,USA,Cabernet Sauvignon,50,S
Aimée,Merlot,2019,Napa Valley,USA,Merlot,36,S
Alamos,Seleccion Malbec,2018,Mendoza,Argentina,Malbec,20,B
Alamos,Malbec,2020,Mendoza,Argentina,Malbec,13,S
Alamos,Red Blend,2017,Mendoza,Argentina,Non-Bordeaux Blend<$25,13,S
Allegro,Moscato,2020,California,USA,Muscat,10,S
Almquist Family Vintners,Sumi's Malbec,2014,Rattlesnake Hills,USA,Malbec,32,B
Almquist Family Vintners,Griffin's Blanc,2016,Columbia Valley,USA,Other White Blend .7% or below,24,B
Almquist Family Vintners,Blanc,2017,Columbia Valley,USA,Other White Blend .7% or below,24,B
Almquist Family Vintners,Raven's Petit(e),2016,Rattlesnake Hills,USA,Petite Sirah,34,B
Almquist Family Vintners,Bewitched Winemaker Pinot Noir,2018,Rattlesnake Hills,USA,Pinot Noir,36,B
Almquist Family Vintners,Winemaker's Torment Red Blend,2015,Columbia Valley,USA,Premium Bordeaux Blend >$25,34,B
Almquist Family Vintners,Winemaker's Torment Premium Bordeaux Blend,2016,Columbia Valley,USA,Premium Bordeaux Blend >$25,34,B
Almquist Family Vintners,Winemaker's Defiance Red Blend,2015,Columbia Valley,USA,Red Rhône Blend,34,B
Almquist Family Vintners,Carménère,2016,Wahluke Slope,USA,Carmenère,34,G
Almquist Family Vintners,Winemaker's Infatuation Cabernet Sauvignon,2018,Yakima Valley,USA,Cabernet Sauvignon,36,GG
Almquist Family Vintners,Winemaker's Infatuation Cabernet Sauvignon,2015,Yakima Valley,USA,Cabernet Sauvignon,34,S
Almquist Family Vintners,Winemaker's Infatuation Cabernet Sauvignon,2016,Columbia Valley,USA,Cabernet Sauvignon,34,S
Almquist Family Vintners,Bewitched Winemaker Pinot Noir,2018,Chehalem Mountains,USA,Pinot Noir,36,S
Almquist Family Vintners,Enchanted Winemaker Riesling,2019,Wahluke Slope,USA,Riesling .7% or below,26,S
Almquist Family Vintners,Griffin's Blanc,2019,Yakima Valley,USA,Sauvignon Blanc / Semillon Blends,26,S
Alvarado Hills,Malbec,2020,Argentina,USA,Malbec,25,S
Amador Cellars,Barbera,2019,Amador County,USA,Barbera,32,G
Amador Cellars,Tempranillo,2017,Amador County,USA,Tempranillo,32,G
Amador Cellars,Fiano,2020,Amador County,USA,Italian White Varietal,28,S
Amador Cellars,Zinfandel,2018,Shenandoah Valley,USA,Zinfandel,30,S
Amisfield,Dry Rielsing,2019,Central Otago,New Zealand,Riesling 0.71% r.s. or above,20,GG
Amisfield,Pinot Noir,2017,Central Otago,New Zealand,Pinot Noir,55,S
Amisfield,Sauvignon Blanc,2020,Central Otago,New Zealand,Sauvignon Blanc,20,S
Andante Vineyard,Estate Chardonnay,2018,Willamette Valley| Van Duzer Corridor,USA,Chardonnay,29,B
Andante Vineyard,Estate Pinot Noir,2018,Willamette Valley| Van Duzer Corridor,USA,Pinot Noir,39,B
Andante Vineyard,Estate Sauvignon Blanc,2020,Willamette Valley| Van Duzer Corridor,USA,Sauvignon Blanc,25,B
Andante Vineyard,Estate Pinot Noir Rosé,2020,Willamette Valley| Van Duzer Corridor,USA,Varietal Rosé,24,B
Andante Vineyard,Club Select Estate Pinot Noir,2019,Willamette Valley| Van Duzer Corridor,USA,Pinot Noir,54,S
Angelo Cellars,Cabernet Sauvignon,2016,Napa Valley,USA,Cabernet Sauvignon,80,B
Angelo Cellars,Red Block Premium Bordeaux Blend,2018,Napa Valley,USA,Premium Bordeaux Blend >$25,50,B
Angels '&' Cowboys,Proprietary Red Blend,2019,Sonoma County,USA,Non-Bordeaux Blend<$25,23,B
Angels '&' Cowboys,Reserve Brut,NV,California,USA,Brut (less than 12 g/l),23,S
Angels '&' Cowboys,Sparkling Rosé,NV,California,USA,Rosé,25,S
Angove,Cabernet Sauvignon,2018,McLaren Vale,Australia,Cabernet Sauvignon,55,S
Anthony '&' Dominic,Pinot Noir,2019,North Coast,USA,Pinot Noir,17,S
Antonio Mascaro,Cuvée Antonio Mascaró Brut Naturee,2014,CAVA,Spain,Brut Nature (less than 3g/l),45,G
Antonio Mascaro,Rubor Aurorae Sparkling Rosé,2018,CAVA,Spain,Rosé,20,G
Antonio Mascaro,Pure Brut Nature,2017,CAVA,Spain,Brut Nature (less than 3g/l),20,S
Apothic,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,14,B
Apothic,Rosé,2020,California,USA,Rosé,14,B
Apothic,Red Blend,2019,California,USA,Non-Bordeaux Blend<$25,14,G
Apothic,Sparkling Red,NV,California,USA,Sparkling Red,16,S
Aravail,Chardonnay,2019,Monterey County,USA,Chardonnay,12,B
Aravail,Cabernet Sauvignon,2019,Central Coast,USA,Cabernet Sauvignon,12,G
Aravail,Pinot Noir,2019,California,USA,Pinot Noir,7,S
Aravail,Red Blend,2019,Monterey County,USA,Red Rhône Blend,12,S
Aravail,Sauvignon Blanc,2020,Central Coast,USA,Sauvignon Blanc,12,S
Arché,True Friends White Blend,2020,Montague County| Texas,USA,Other Chardonnay Blend,30,B
Arché,Chardonnay,2019,Montague County| Texas,USA,Chardonnay,26,S
Arché,Reserve Syrah,2018,Montague County| Texas,USA,Syrah / Shiraz,58,S
Arché,Reserve Roussanne,2019,Montague County| Texas,USA,White Rhône Varietal,50,S
Arcibiskupské zámecké víno Kroměříž| s.r.o.,Pozdní sběr Zweigeltrebe,2017,Slovácká,Czech Republic,Hybrid Red Varietal,8,B
Arcibiskupské zámecké víno Kroměříž| s.r.o.,Pozdní sběr Merlot,2018,Slovácká,Czech Republic,Merlot,11,B
Arcibiskupské zámecké víno Kroměříž| s.r.o.,Výběr z bobulí,2018,Slovácká,Czech Republic,Pinot Gris/ Pinot Grigio,16,B
Arcibiskupské zámecké víno Kroměříž| s.r.o.,Pozdní sběr Sauvignon,2019,Slovácká,Czech Republic,Sauvignon Blanc,8,B
Arcibiskupské zámecké víno Kroměříž| s.r.o.,Výběr z bobulí Sauvignon,2018,Slovácká,Czech Republic,Sauvignon Blanc,16,S
Arius,Chardonnay,2020,California,USA,Chardonnay,26,S
Arrington Vineyards,Cabernet Sauvignon,2018,American,USA,Cabernet Sauvignon,33,B
Arrington Vineyards,Russell Family Select Merlot,2019,American,USA,Merlot,30,B
Arrington Vineyards,Petite Noir,2019,Tennessee,USA,Non-Bordeaux Blend<$25,25,B
Arrington Vineyards,Antebellum Red Blend,2017,Tennessee,USA,Non-Bordeaux Blend<$25,35,B
Arrington Vineyards,Antebellum White Blend,2019,Tennessee,USA,Other Chardonnay Blend,26,B
Arrington Vineyards,Red Fox Red Blend,2018,American,USA,Sangiovese Blend,26,B
Arrington Vineyards,Encore Ruby Port,2018,Tennessee,USA,Other Fortified Wine,30,G
Arrington Vineyards,Riesling,2020,American,USA,Riesling 0.71% r.s. or above,20,G
Arrington Vineyards,Kinzley Reserve Sauvignon Blanc,2020,American,USA,Sauvignon Blanc,20,G
Arrington Vineyards,KB 12*18 Reserve Cabernet Sauvignon,2018,American,USA,Cabernet Sauvignon,60,S
Arrington Vineyards,Chardonnay,2020,American,USA,Chardonnay,25,S
Arrington Vineyards,Stag's White Blend,2020,American,USA,Other White Blend .7% or below,22,S
Arrington Vineyards,Firefly Rosé,2020,American,USA,Rosé,20,S
Arrington Vineyards,Syrah,2018,American,USA,Syrah / Shiraz,27,S
Artiste Winery,Ladera Floral Premium Red Blend,NV,Santa Barbara County,USA,Premium Non- Bordeaux Blends>$25,67,B
Artiste Winery,Cafecita Premium Red Blend,NV,Santa Barbara County,USA,Premium Non- Bordeaux Blends>$25,49,S
ASTORIA,Alisia Pinot Grigio,2020,Veneto DOC,Italy,Pinot Gris/ Pinot Grigio,12,S
ASTORIA,Glera,NV,Veneto DOC,Italy,Prosecco,15,S
ASTORIA,Rosé,2020,Veneto DOC,Italy,Rosé,15,S
Astrolabe,Chenin Blanc,2019,Marlborough,New Zealand,Chenin Blanc .7% or below,25,S
Astrolabe,Pinot Gris,2019,Marlborough,New Zealand,Pinot Gris/ Pinot Grigio,22,S
Astrolabe,Pinot Noir,2018,Marlborough,New Zealand,Pinot Noir,30,S
Athenaeum,Cabernet Sauvignon,2019,Napa Valley,USA,Cabernet Sauvignon,40,G
Athenaeum,Sauvignon Blanc,2020,Napa Valley,USA,Sauvignon Blanc,30,S
Au Contraire,Pinot Noir,2018,Sonoma Coast,USA,Pinot Noir,27,B
Au Contraire,Chardonnay,2019,Russian River Valley,USA,Chardonnay,20,S
Aubry,Cabernet Sauvignon,2019,Coombsville,USA,Cabernet Sauvignon,125,S
Avalon,Cabernet Sauvignon,2019,Napa Valley,USA,Cabernet Sauvignon,20,B
Avalon,Pinot Noir,2020,California,USA,Pinot Noir,11,B
Avalon,100,2020,Lodi,USA,Cabernet Sauvignon,11,S
Avalon,Chardonnay,2020,California,USA,Chardonnay,11,S
Avistelle,Cabernet Sauvignon,2018,Columbia Valley,USA,Cabernet Sauvignon,19,S
Axebridge Wine Company,Marquette,2018,Minnesota,USA,Hybrid Red Varietal,38,B
B\V v1narstvl a s.,pozdní sběr Chardonnay,2020,Slovácká,Czech Republic,Chardonnay,11,B
B\V v1narstvl a s.,pozdní sběr Reserva Chardonnay,2018,Slovácká,Czech Republic,Chardonnay,16,B
B\V v1narstvl a s.,pozdní sběr Barrique Reserva Chardonnay,2018,Slovácká,Czech Republic,Chardonnay,27,B
B\V v1narstvl a s.,pozdní sběr Reserva Chardonnay,2017,Slovácká,Czech Republic,Chardonnay,16,B
B\V v1narstvl a s.,pozdní sběr Hibernal,2020,Slovácká,Czech Republic,Other Hybrid White Varietal,11,B
B\V v1narstvl a s.,pozdní sběr Neuburské,2020,Velkopavlovická,Czech Republic,Other White Varietal .7% or below,11,B
B\V v1narstvl a s.,pozdní sběr Rulandské šedé,2020,Slovácká,Czech Republic,Pinot Gris/ Pinot Grigio,11,B
B\V v1narstvl a s.,výběr z hroznů Barrique Reserva Pinot Gris,2018,Slovácká,Czech Republic,Pinot Gris/ Pinot Grigio,27,B
B\V v1narstvl a s.,výběr z hroznů Reserva Pinot Gris,2017,Slovácká,Czech Republic,Pinot Gris/ Pinot Grigio,16,B
B\V v1narstvl a s.,pozdní sběr Barrigue Reserva Riesling,2018,Slovácká,Czech Republic,Riesling .7% or below,27,B
B\V v1narstvl a s.,pozdní sběr Reserva Riesling,2018,Slovácká,Czech Republic,Riesling .7% or below,16,B
B\V v1narstvl a s.,pozdní sběr Ryzlink rýnský,2018,Slovácká,Czech Republic,Riesling .7% or below,11,B
B\V v1narstvl a s.,pozdní sběr Reserva Riesling,2017,Slovácká,Czech Republic,Riesling .7% or below,16,B
B\V v1narstvl a s.,výběr z hroznů Reserva Gewürztraminer,2018,Slovácká,Czech Republic,Gewürztraminer,16,G
B\V v1narstvl a s.,výběr z hroznů Reserva Svatovavřinecké,2015,Slovácká,Czech Republic,Other Red Varietal,20,G
B\V v1narstvl a s.,výběr z hroznů Reserva Andre,2015,Slovácká,Czech Republic,Other Red Varietal,20,G
B\V v1narstvl a s.,výběr z hroznů Pinot Noir,2015,Slovácká,Czech Republic,Pinot Noir,34,G
B\V v1narstvl a s.,pozdní sběr Ryzlink rýnský,2019,Slovácká,Czech Republic,Riesling .7% or below,11,G
B\V v1narstvl a s.,výběr z bobulí Tramín červený,2017,Slovácká,Czech Republic,Gewürztraminer 2% or above,12,GG
B\V v1narstvl a s.,výběr z hroznů Cabernet Sauvignon,2015,Slovácká,Czech Republic,Cabernet Sauvignon,34,S
B\V v1narstvl a s.,pozdní sběr Chardonnay,2018,Slovácká,Czech Republic,Chardonnay,11,S
B\V v1narstvl a s.,výběr z hroznů Tramín červený,2018,Slovácká,Czech Republic,Gewürztraminer,11,S
B\V v1narstvl a s.,zemské Reserva Zweigeltrebe,2015,Slovácká,Czech Republic,Hybrid Red Varietal,20,S
B\V v1narstvl a s.,výběr z hroznů Reserva Neronet,2015,Slovácká,Czech Republic,Hybrid Red Varietal,34,S
B\V v1narstvl a s.,pozdní sběr Muškát moravský,2020,Mikulovská,Czech Republic,Muscat,11,S
B\V v1narstvl a s.,výběr z hroznů Pálava,2020,Mikulovská,Czech Republic,Other Hybrid White Varietal,11,S
B\V v1narstvl a s.,výběr z bobulí Solaris,2020,Slovácká,Czech Republic,Other Hybrid White Varietal,11,S
B\V v1narstvl a s.,výběr z hroznů Reserva Frankovka,2015,Slovácká,Czech Republic,Other Red Varietal,20,S
B\V v1narstvl a s.,pozdní sběr Sylvánské zelené,2020,Mikulovská,Czech Republic,Other White Varietal .7% or below,11,S
B\V v1narstvl a s.,pozdní sběr Reserva Welsch Riesling,2018,Slovácká,Czech Republic,Other White Varietal .7% or below,16,S
B\V v1narstvl a s.,pozdní sběr Müller Thurgau bílé,2020,Slovácká,Czech Republic,Other White Varietal .7% or below,11,S
B\V v1narstvl a s.,pozdní sběr Rulandské bílé,2020,Slovácká,Czech Republic,Pinot Blanc,11,S
B\V v1narstvl a s.,pozdní sběr Ryzlink rýnský,2018,Slovácká,Czech Republic,Riesling .7% or below,11,S
B\V v1narstvl a s.,pozdní sběr Sauvignon,2020,Slovácká,Czech Republic,Sauvignon Blanc,11,S
B\V v1narstvl a s.,pozdní sběr Sauvignon,2020,Velkopavlovická,Czech Republic,Sauvignon Blanc,11,S
Babich Wines,Select Blocks Organic Sauvignon Blanc,2021,Marlborough,New Zealand,Organic Wine,18,S
Babich Wines,Family Estates Organic Sauvignon Blanc,2021,Marlborough,New Zealand,Organic Wine,19,S
Babich Wines,Sauvignon Blanc,2021,Marlborough,New Zealand,Sauvignon Blanc,15,S
Babich Wines,Black Label Sauvignon Blanc,2021,Marlborough,New Zealand,Sauvignon Blanc,16,S
Baldassari,Pinot Noir,2018,Russian River Valley,USA,Pinot Noir,52,G
