Source Name	Material Type	Term Source REF	Term Accession Number	Comment[data source URL]	Characteristics[geographical location]	Term Source REF	Term Accession Number	Comment[variable]	Characteristics[environment type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[spatial resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[temporal resolution]	Unit	Term Source REF	Term Accession Number	Sample Name	Factor Value[data collection interval]
WorldClim version 2	data set	IAO	IAO:0000100	http://worldclim.org/version2	Earth			temperature	temperature of air	ENVO	ENVO:09200001	Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v2_temp	1970/2000
WorldClim version 2	data set	IAO	IAO:0000100	http://worldclim.org/version2	Earth			vapour pressure	pressure of air	ENVO	ENVO:09200011	Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v2_vap	1970/2000
WorldClim version 2	data set	IAO	IAO:0000100	http://worldclim.org/version2	Earth			precipitation	hydrological precipitation process	ENVO	ENVO:01000703	Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v2_pr	1970/2000
WorldClim version 2	data set	IAO	IAO:0000100	http://worldclim.org/version2	Earth			downward shortwave flux at the surface				Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v2_srad	1970/2000
WorldClim version 2	data set	IAO	IAO:0000100	http://worldclim.org/version2	Earth			wind speed	atmospheric wind	ENVO	ENVO:01000793	Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v2_ws	1970/2000
WorldClim version 1.4	data set	IAO	IAO:0000100	http://worldclim.org/version1	Earth			temperature	temperature of air	ENVO	ENVO:09200001	Data sources	0.041666667	degree	UO	UO:0000185	1	month	UO	UO:0000035	WorldClim v1.4_temp	1960/1990
Climate Research Unit	data set	IAO	IAO:0000100	http://dx.doi.org/10.5285/edf8febfdaad48abb2cbaf7d7e846a86	Earth			temperature	temperature of air	ENVO	ENVO:09200001	Data sources	0.5	degree	UO	UO:0000185	1	month	UO	UO:0000035	CRU Ts4.0_temp	1958/2015
Climate Research Unit	data set	IAO	IAO:0000100	http://dx.doi.org/10.5285/edf8febfdaad48abb2cbaf7d7e846a87	Earth			vapour pressure	pressure of air	ENVO	ENVO:09200011	Data sources	0.5	degree	UO	UO:0000185	1	month	UO	UO:0000035	CRU Ts4.0_vap	1958/2015
Climate Research Unit	data set	IAO	IAO:0000100	http://dx.doi.org/10.5285/edf8febfdaad48abb2cbaf7d7e846a88	Earth			precipitation	hydrological precipitation process	ENVO	ENVO:01000703	Data sources	0.5	degree	UO	UO:0000185	1	month	UO	UO:0000035	CRU Ts4.0_pr	1958/2015
Japanese 55-year Reanalysis	data set	IAO	IAO:0000100	http://jra.kishou.go.jp/JRA-55/index_en.html	Earth			temperature	temperature of air	ENVO	ENVO:09200001	Data sources	1.25	degree	UO	UO:0000185	1	month	UO	UO:0000035	JRA-55_temp	1958/20015
Japanese 55-year Reanalysis	data set	IAO	IAO:0000100	http://jra.kishou.go.jp/JRA-55/index_en.html	Earth			vapour pressure	pressure of air	ENVO	ENVO:09200011	Data sources	1.25	degree	UO	UO:0000185	1	month	UO	UO:0000035	JRA-55_vap	1958/20015
Japanese 55-year Reanalysis	data set	IAO	IAO:0000100	http://jra.kishou.go.jp/JRA-55/index_en.html	Earth			precipitation	hydrological precipitation process	ENVO	ENVO:01000703	Data sources	1.25	degree	UO	UO:0000185	1	month	UO	UO:0000035	JRA-55_pr	1958/20015
Japanese 55-year Reanalysis	data set	IAO	IAO:0000100	http://jra.kishou.go.jp/JRA-55/index_en.html	Earth			downward shortwave flux at the surface				Data sources	1.25	degree	UO	UO:0000185	1	month	UO	UO:0000035	JRA-55_srad	1958/20015
Japanese 55-year Reanalysis	data set	IAO	IAO:0000100	http://jra.kishou.go.jp/JRA-55/index_en.html	Earth			wind speed	atmospheric wind	ENVO	ENVO:01000793	Data sources	1.25	degree	UO	UO:0000185	1	month	UO	UO:0000035	JRA-55_ws	1958/20015
Root zone storage capacity	data set	IAO	IAO:0000100	https://www.hydrol-earth-syst-sci.net/20/1459/2016/hess-20-1459-2016-supplement.zip	Earth			Water storage capacity	porosity of soil	ENVO	ENVO:09200004	Data sources	0.5	degree	UO	UO:0000185					Root zone storage capacity_wsc	
